hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,119,2016,January,1,1,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,14,NULL,0,Transient,74.25,0,0,Canceled,31/12/2015
City Hotel,1,25,2016,January,1,1,2,2,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient,178.25,0,0,Canceled,07/12/2015
City Hotel,1,61,2016,July,30,18,3,8,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,2,NULL,1,Transient,139.34,0,1,Canceled,19/05/2016
City Hotel,1,61,2016,July,30,18,3,8,2,0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,2,NULL,1,Transient,139.34,0,1,Canceled,19/05/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,11,2016,January,1,2,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,NULL,0,Transient,83.58,0,0,Canceled,30/12/2015
City Hotel,1,10,2016,January,1,2,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient,83.58,0,0,Canceled,31/12/2015
City Hotel,1,8,2016,January,1,2,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,91.45,0,0,Canceled,28/12/2015
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
